"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
314.71,202,100.41,9.9851,119.4
314.73,203,100.44,9.8975,119.39
314.71,204,100.29,9.9555,119.42
314.71,205,100.62,9.9182,119.36
315.23,212,100.14,9.9773,119.44
315.95,213,100.3,9.8555,119.41
315.59,214,100.1,9.9364,119.44
317.92,215,100.54,9.8068,119.37
315.58,216,100.68,9.8296,119.35
319.04,219,100.23,9.7746,119.41
317.13,220,100.05,9.8862,119.44
325.96,221,100.45,9.7339,119.38
316.64,222,100.72,9.761,119.34
321.48,223,100.69,9.6826,119.34
327.23,224,100.86,9.7002,119.31
315.7,225,100.17,9.7008,119.41
315.03,226,100.01,9.803,119.44
332.41,227,100.37,9.6549,119.38
342.85,228,100.57,9.6195,119.35
343.9,229,100.95,9.591,119.28
0,230,100.77,9.5812,119.32
0,231,100.92,9.4917,119.28
315.7,232,99.989,9.7018,119.42
333.29,233,100.1,9.5992,119.4
337.57,234,100.27,9.5865,119.38
0,235,100.51,9.5342,119.34
0,236,100.71,9.5134,119.31
0,237,100.85,9.439,119.28
335.43,238,100.18,9.5028,119.37
0,239,100.43,9.4597,119.34
0,240,100.72,9.4065,119.29
314.71,382,100.34,10.32,119.4
314.71,383,100.44,10.184,119.39
314.71,384,100.23,10.272,119.43
314.71,385,100.54,10.277,119.36
314.71,390,100.04,10.302,119.46
314.71,391,100.2,10.168,119.43
314.71,392,99.951,10.249,119.47
314.71,393,100.48,10.054,119.39
314.71,394,100.67,10.175,119.34
314.71,395,100.67,10.079,119.35
314.71,396,100.9,10.082,119.3
314.71,402,99.763,10.272,119.49
314.71,403,99.935,10.149,119.47
314.71,404,99.709,10.218,119.5
314.71,405,100.18,10.063,119.44
314.71,406,100.83,9.9467,119.32
314.83,407,101.02,9.9588,119.27
314.71,414,99.906,10.032,119.47
314.71,415,99.665,10.148,119.5
315.01,416,100.84,9.8142,119.32
318.86,417,101.17,9.8356,119.24
320.83,418,101.02,9.7994,119.28
320.99,419,101.23,9.6938,119.23
314.71,426,99.835,9.9265,119.47
314.71,427,99.63,10.039,119.49
333.85,428,101.04,9.6799,119.27
335.93,429,101.22,9.6089,119.23
314.71,433,99.831,9.8185,119.45
314.71,434,99.633,9.9128,119.48
338.04,435,101.18,9.5357,119.23
347.31,436,101.1,9.4665,119.24
337.41,437,101.33,9.3946,119.18
314.71,438,99.718,9.7538,119.45
314.71,439,99.832,9.6155,119.41
316.32,440,99.958,9.6072,119.41
0,441,101.04,9.3632,119.23
338.39,442,101.29,9.2719,119.18
314.87,443,99.962,9.4767,119.37
315.98,444,100.17,9.3342,119.33
323.43,445,100.32,9.382,119.33
334.79,446,100.59,9.3517,119.3
340.95,447,100.86,9.2741,119.25
342.25,448,101.09,9.2528,119.21
337.22,449,101.25,9.1899,119.17
316.23,450,100.38,9.2641,119.29
314.86,451,100.53,9.1602,119.25
315.35,452,100.6,9.2534,119.27
319.4,453,100.81,9.1706,119.23
327.75,454,100.95,9.1513,119.21
337.18,455,101.13,9.1355,119.18
314.72,456,100.72,9.1164,119.22
314.71,640,100.28,10.578,119.39
314.71,641,100.12,10.509,119.43
314.96,642,99.97,10.642,119.45
314.71,643,100.55,10.542,119.33
314.71,644,100.44,10.418,119.37
314.71,645,100.81,10.523,119.27
314.71,646,100.74,10.401,119.3
314.71,647,101.1,10.476,119.19
314.71,648,100.97,10.399,119.24
314.71,649,101.19,10.316,119.19
314.97,654,99.761,10.624,119.49
314.71,655,99.817,10.512,119.48
315.97,656,99.54,10.633,119.52
314.71,657,100.09,10.402,119.44
314.71,658,100.78,10.258,119.31
314.71,659,101.01,10.272,119.25
314.71,660,101.29,10.164,119.18
315.36,666,99.319,10.597,119.56
314.71,667,99.511,10.473,119.53
315.28,668,99.219,10.531,119.56
314.71,669,99.781,10.38,119.49
314.71,670,101.08,10.13,119.25
314.71,671,101.37,10.022,119.18
314.71,677,99.491,10.311,119.52
315.65,678,99.231,10.416,119.56
314.85,679,101.18,9.976,119.23
314.71,680,101.4,9.9192,119.18
314.71,687,99.403,10.169,119.52
315.58,688,99.172,10.293,119.55
315.26,689,101.4,9.8249,119.18
318.47,690,101.43,9.6792,119.18
314.71,698,99.387,10.026,119.51
315.56,699,99.141,10.145,119.54
335.34,700,101.4,9.5302,119.18
314.71,710,99.466,9.8889,119.48
315.12,711,99.181,9.9516,119.5
315.22,717,99.471,9.7841,119.46
315.9,718,99.531,9.6636,119.43
314.71,719,99.695,9.6277,119.42
314.96,724,99.634,9.5198,119.39
314.98,725,99.733,9.3858,119.36
314.89,726,99.963,9.3434,119.34
314.77,730,100.09,9.1904,119.29
314.82,731,99.836,9.2686,119.32
315,732,100.3,9.1839,119.27
324.78,733,100.97,9.0348,119.17
331.17,734,101.25,9.0185,119.13
314.71,738,100,9.1088,119.26
314.71,739,100.23,8.9793,119.21
314.71,740,100.33,9.0545,119.23
314.72,741,100.65,9.019,119.2
317.33,742,100.95,8.9211,119.15
318.4,743,101.21,8.898,119.11
314.71,747,100.4,8.9354,119.19
314.71,748,100.59,8.9021,119.17
315.85,749,100.85,8.8448,119.13
316.73,750,101.15,8.787,119.09
314.71,945,100.19,10.829,119.38
314.71,946,100.14,10.712,119.41
314.79,947,99.903,10.815,119.45
314.71,948,100.44,10.821,119.32
314.71,949,100.38,10.69,119.35
314.73,950,100.69,10.786,119.26
314.75,951,100.64,10.664,119.29
321.23,952,100.89,10.746,119.21
315.54,953,100.94,10.62,119.21
315.21,954,101.07,10.695,119.16
315.12,963,99.659,10.814,119.5
315.49,964,99.705,10.725,119.49
320.68,965,99.411,10.816,119.54
315.44,967,101.32,10.387,119.14
322.12,975,99.134,10.777,119.58
320.43,976,99.289,10.699,119.56
327.78,977,99.008,10.659,119.59
314.79,978,101.45,10.227,119.13
328.06,986,99.004,10.526,119.58
314.71,987,101.59,10.035,119.11
327.97,995,98.901,10.43,119.58
314.71,996,101.62,9.8569,119.12
327.94,1005,98.871,10.303,119.57
327.95,1019,98.89,10.142,119.55
328.13,1030,98.88,10.011,119.52
325.57,1043,99.331,9.7354,119.45
328.08,1044,99.054,9.8282,119.48
327.19,1052,99.331,9.5951,119.42
321.58,1053,99.247,9.4723,119.38
315.88,1054,99.522,9.3959,119.36
314.78,1061,99.694,9.2288,119.31
314.91,1062,99.434,9.2472,119.31
314.71,1072,99.763,9.1009,119.26
314.71,1073,99.859,8.9818,119.22
314.71,1074,100.07,8.9563,119.21
314.71,1085,100.21,8.8251,119.16
314.71,1086,99.963,8.8592,119.17
314.71,1087,100.43,8.8199,119.15
314.71,1088,100.74,8.7516,119.11
315.5,1089,101.03,8.6944,119.07
314.71,1102,100.17,8.7563,119.13
314.71,1103,100.38,8.694,119.1
314.71,1104,100.55,8.5748,119.05
314.72,1105,100.65,8.6555,119.08
320.84,1106,100.92,8.5965,119.04
314.78,1119,100.68,8.5299,119.03
321.05,1120,100.84,8.4897,119.01
314.97,1310,99.939,11.104,119.4
314.71,1311,100.01,10.942,119.41
314.71,1312,99.802,10.977,119.45
316.9,1313,100.25,11.14,119.31
314.71,1314,100.23,10.977,119.35
317.3,1315,100.63,11.052,119.22
314.74,1316,100.51,10.951,119.27
330.48,1318,100.85,10.872,119.19
314.71,1330,99.597,10.998,119.49
314.79,1331,99.616,10.903,119.5
314.87,1332,99.371,11.006,119.54
327.06,1343,98.921,11.015,119.61
327.9,1344,98.821,10.911,119.62
