"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
235.16,0,56.131,19.937,117.95
228.32,3,56.196,19.817,117.93
249.16,38,56.615,20.353,117.85
245.1,39,56.45,20.171,117.89
250.35,40,56.417,20.301,117.89
246.73,41,56.811,20.332,117.81
238.64,42,56.645,20.191,117.85
233.72,43,56.925,20.279,117.78
231.84,44,56.811,20.196,117.81
230.11,45,56.974,20.162,117.76
251.72,46,56.295,20.341,117.91
249.87,47,56.228,20.172,117.93
238.51,49,56.294,20.012,117.91
226.49,50,56.52,20.028,117.87
225.44,51,56.738,20.061,117.82
225.38,52,56.864,19.964,117.78
225.37,57,56.399,19.861,117.89
225.29,58,56.622,19.895,117.84
225.29,59,56.716,19.764,117.81
225.29,62,56.266,19.68,117.9
225.29,63,56.481,19.715,117.86
225.29,64,56.54,19.562,117.83
225.29,68,56.313,19.531,117.88
225.19,69,56.338,19.369,117.86
255.71,133,57.014,20.779,117.75
255.22,134,56.833,20.644,117.8
255.23,135,56.802,20.81,117.79
256.42,136,57.197,20.753,117.7
255.23,137,57.033,20.599,117.75
246.11,138,57.39,20.743,117.64
243.84,139,57.232,20.575,117.69
235.52,140,57.584,20.776,117.58
232.37,141,57.436,20.589,117.63
237.38,142,57.763,20.789,117.51
234.11,143,57.614,20.631,117.57
237.83,144,57.867,20.763,117.48
235.42,145,57.751,20.58,117.52
235.92,146,57.96,20.732,117.44
254.92,147,56.609,20.792,117.83
253.51,148,56.6,20.64,117.84
265.47,149,56.476,20.711,117.86
251.35,150,56.668,20.514,117.84
250.98,151,56.85,20.476,117.8
238.45,152,57.061,20.401,117.74
226.36,153,57.309,20.41,117.67
225.29,154,57.534,20.442,117.59
225.49,155,57.713,20.356,117.53
232.1,156,57.916,20.568,117.46
251.98,160,56.45,20.468,117.88
225.84,161,57.176,20.253,117.7
225.29,162,57.397,20.223,117.63
225.29,163,57.609,20.14,117.56
225.28,166,57.115,20.064,117.71
225.28,167,57.226,19.945,117.67
225.29,168,57.417,20.074,117.62
225.13,172,56.967,19.843,117.74
224.36,173,57.071,19.717,117.7
225.17,176,56.79,19.621,117.77
225,177,56.939,19.544,117.72
224.99,180,56.767,19.454,117.76
224.61,181,56.552,19.378,117.81
255.86,294,57.541,21.237,117.56
253.93,295,57.453,21.041,117.6
257.42,296,57.357,21.121,117.62
252.93,297,57.775,21.283,117.47
249.16,298,57.666,21.101,117.53
253.15,299,57.989,21.339,117.39
249.58,300,57.889,21.131,117.44
253.13,301,58.192,21.419,117.3
250.02,302,58.102,21.183,117.36
252.38,303,58.389,21.528,117.2
250.8,304,58.308,21.279,117.27
251.81,306,58.5,21.396,117.17
254.04,307,58.626,21.558,117.09
260.87,308,57.074,21.114,117.7
259,309,57.001,20.931,117.74
259.34,310,56.874,20.994,117.76
258.91,311,57.225,21.106,117.66
258.15,312,57.201,20.951,117.68
249.05,313,57.354,20.884,117.64
239.49,314,57.545,20.921,117.58
241.71,315,57.757,20.953,117.51
243.85,316,57.995,20.944,117.42
247.26,317,58.23,21.029,117.32
250.76,318,58.45,21.159,117.22
256.13,319,58.66,21.47,117.09
251.91,320,58.65,21.284,117.12
251.98,321,58.772,21.5,117.04
259.42,325,56.764,21.05,117.78
256.41,326,56.662,20.931,117.81
236.66,327,58.156,20.761,117.36
238.64,328,58.403,20.928,117.26
245.13,329,58.625,21.069,117.15
251.95,330,58.816,21.393,117.04
251.88,331,58.829,21.206,117.05
225.57,335,57.989,20.456,117.43
226.15,336,58.208,20.566,117.35
226.14,337,58.395,20.717,117.27
238.51,338,58.611,20.859,117.18
250.25,339,58.824,21.001,117.07
255.05,340,58.996,21.319,116.96
251.7,341,59.034,21.146,116.96
225.29,346,57.856,20.198,117.48
225.29,347,58.13,20.357,117.38
225.68,348,58.378,20.497,117.28
232.02,349,58.603,20.648,117.19
238.26,350,58.818,20.791,117.09
240.34,351,59.021,20.934,116.99
240.23,353,59.223,21.071,116.88
225.14,357,57.446,19.961,117.61
225.2,358,57.91,19.998,117.45
225.05,359,57.634,19.926,117.54
225.07,360,58.075,20.165,117.4
224.86,361,58.303,20.274,117.31
225,362,58.485,20.287,117.25
225.69,363,58.587,20.442,117.2
226.4,364,58.823,20.587,117.1
230.79,365,59.028,20.725,117
234.42,366,59.213,20.864,116.9
239.66,368,59.375,20.989,116.81
222.12,371,57.312,19.782,117.64
220.99,372,57.459,19.718,117.58
225.05,373,58.631,20.258,117.18
225.28,374,58.821,20.396,117.1
225.62,375,59.005,20.385,117.02
228.25,376,59.068,20.524,116.98
235.58,377,59.247,20.672,116.89
241.01,378,59.426,20.83,116.79
246.46,379,59.588,20.932,116.7
220.67,381,57.301,19.632,117.63
221.06,382,57.118,19.514,117.67
225.54,383,59.158,20.316,116.94
226.03,384,59.32,20.302,116.86
232.02,385,59.323,20.473,116.86
241.89,386,59.454,20.651,116.79
250.67,387,59.642,20.863,116.68
251.31,388,59.601,20.753,116.71
224.97,393,56.675,19.317,117.77
224.91,394,56.882,19.365,117.72
227.28,395,59.527,20.413,116.75
226.17,396,59.488,20.264,116.77
241.75,397,59.538,20.535,116.75
251.37,398,59.696,20.641,116.66
224.28,402,56.71,19.239,117.75
222.23,403,56.522,19.134,117.78
226.26,404,59.653,20.33,116.68
230.44,405,59.809,20.335,116.59
240.51,406,59.705,20.468,116.65
247.81,407,59.841,20.542,116.57
242.57,422,59.893,20.429,116.54
269.02,530,57.291,21.389,117.61
261.71,533,57.476,21.39,117.56
258.17,535,57.676,21.425,117.49
262.3,536,57.962,21.683,117.35
258.14,537,57.879,21.481,117.41
261.77,538,58.152,21.765,117.26
258.16,539,58.078,21.553,117.32
261.25,540,58.337,21.875,117.16
256.89,541,58.275,21.652,117.23
256.16,543,58.477,21.774,117.12
269.11,549,57.082,21.315,117.67
259.51,550,57.293,21.249,117.63
260.91,559,56.888,21.162,117.74
222.53,579,57.762,19.829,117.49
218.12,580,57.956,19.806,117.43
219.36,581,58.169,20.005,117.36
219.9,582,58.409,20.15,117.27
218.54,583,58.37,20.021,117.29
217.45,590,57.766,19.711,117.49
215.89,591,57.576,19.629,117.54
218.48,592,58.564,20.066,117.21
219.76,593,58.731,20.078,117.14
220.58,594,58.805,20.198,117.11
224.82,595,58.967,20.269,117.04
215.98,602,57.18,19.327,117.63
215.68,603,57.339,19.518,117.6
219.83,604,58.86,20.068,117.08
218.67,605,59.054,20.117,116.99
218.83,606,59.206,19.973,116.91
224.87,607,59.297,20.145,116.87
217.98,619,56.977,19.259,117.68
224,620,59.528,20.09,116.74
222.93,621,59.389,19.981,116.82
216.06,634,56.612,18.97,117.73
217.35,635,56.756,19.154,117.72
225.29,636,59.699,20.042,116.65
225.26,637,59.557,19.872,116.72
226.03,638,59.743,20.196,116.62
227.1,647,59.749,19.938,116.61
229.42,648,59.858,19.922,116.55
232.72,649,59.927,20.083,116.51
243.49,650,60.007,20.289,116.47
239.2,665,60.101,19.98,116.4
233.78,666,59.963,19.876,116.48
245.12,680,60.115,19.8,116.38
211.79,837,57.952,19.601,117.41
212.94,838,58.144,19.771,117.36
212.15,839,58.354,19.879,117.29
211.27,843,57.591,19.412,117.51
211.25,844,57.767,19.584,117.47
211.81,845,58.559,19.904,117.21
213.65,846,58.713,19.967,117.14
211.3,859,57.236,19.165,117.59
211.26,860,57.398,19.382,117.57
213.61,861,58.886,19.948,117.07
216.72,862,59.042,19.933,116.99
212.47,863,58.916,19.804,117.04
211.24,873,57.032,19.1,117.64
216.72,874,59.119,19.792,116.94
218.58,875,59.323,19.822,116.84
210.1,883,56.688,18.844,117.69
210.71,884,56.831,19.035,117.68
224.6,885,59.43,19.702,116.77
228.66,897,59.768,19.78,116.59
226.04,898,59.601,19.665,116.67
232.17,910,59.958,19.705,116.47
227.18,911,59.798,19.604,116.55
243.6,926,60.141,19.633,116.34
238.88,927,59.991,19.537,116.43
243.86,939,60.068,19.425,116.37
250.87,940,60.219,19.458,116.27
249.15,941,60.079,19.306,116.34
255.17,942,60.315,19.597,116.22
254.67,959,60.386,19.361,116.14
249.02,960,60.246,19.272,116.23
251.51,978,60.315,19.16,116.16
255.37,979,60.441,19.191,116.08
254.85,980,60.338,19.044,116.12
257.1,998,60.581,19.126,115.97
256.81,999,60.498,19.01,116
211.77,1248,57.938,19.409,117.4
213.84,1249,58.115,19.565,117.35
211.34,1250,58.499,19.771,117.22
211.48,1251,58.302,19.677,117.29
211.52,1252,58.457,19.656,117.23
211.22,1261,57.615,19.218,117.48
211.22,1262,57.772,19.406,117.45
213.42,1263,58.709,19.815,117.14
213.03,1264,58.606,19.639,117.17
213.05,1265,58.778,19.69,117.1
211.22,1276,57.288,19.01,117.55
211.22,1277,57.434,19.207,117.53
211.67,1278,58.926,19.647,117.02
211.22,1288,57.085,18.939,117.59
213.79,1289,59.087,19.667,116.95
214.79,1290,59.24,19.629,116.87
209,1299,56.693,18.658,117.65
210.7,1300,56.879,18.872,117.64
218.31,1301,59.408,19.518,116.76
219.47,1316,59.51,19.431,116.7
223.24,1317,59.643,19.496,116.63
221.52,1318,59.574,19.354,116.65
226.01,1336,59.822,19.431,116.52
225.53,1337,59.704,19.316,116.57
237.68,1350,59.954,19.379,116.43
232.31,1351,59.874,19.229,116.46
233.87,1363,59.957,19.11,116.39
236.01,1364,60.082,19.158,116.31
234.51,1365,60.014,19.012,116.33
246.54,1376,60.216,19.118,116.22
240.77,1377,60.16,18.978,116.23
246.61,1390,60.204,18.844,116.17
251.75,1391,60.351,18.898,116.08
251.47,1392,60.265,18.761,116.11
255.2,1408,60.527,18.86,115.95
254.49,1409,60.394,18.736,116.01
258.32,1426,60.671,18.814,115.83
257.51,1427,60.538,18.692,115.9
258.54,1444,60.683,18.647,115.78
212,1629,57.931,19.24,117.38
213.69,1630,58.091,19.382,117.34
212.84,1631,58.257,19.484,117.29
212.1,1632,58.424,19.538,117.23
211.22,1644,57.641,19.021,117.44
211.22,1645,57.78,19.211,117.42
211.31,1646,58.559,19.459,117.17
211.32,1647,58.74,19.54,117.1
211.22,1654,57.341,18.864,117.5
211.22,1655,57.473,19.031,117.49
211.22,1656,58.88,19.46,117.02
211.31,1657,59.036,19.573,116.96
211.22,1658,59.075,19.487,116.93
211.22,1667,57.169,18.808,117.54
211.45,1668,59.2,19.436,116.86
207.96,1680,56.778,18.492,117.58
210.85,1681,56.936,18.702,117.59
211.57,1682,59.28,19.318,116.81
218.24,1696,59.533,19.223,116.66
215.25,1697,59.427,19.327,116.73
225.05,1709,59.667,19.16,116.57
229.03,1719,59.758,19.086,116.5
229.24,1727,59.949,18.863,116.34
229.15,1728,59.869,19.01,116.42
234.19,1736,60.025,18.77,116.27
239.03,1737,60.094,18.843,116.24
238.17,1738,60.115,18.703,116.19
250.88,1748,60.234,18.629,116.09
252.22,1758,60.259,18.513,116.04
253.54,1759,60.399,18.574,115.96
252.94,1760,60.305,18.433,115.99
255.25,1771,60.548,18.524,115.84
254.53,1772,60.42,18.405,115.9
257,1787,60.69,18.495,115.73
256.52,1788,60.565,18.344,115.78
258.77,1804,60.808,18.485,115.64
258.75,1805,60.741,18.351,115.65
258.8,1818,60.849,18.415,115.59
